課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,,,4656907,EL569G,EL569,Java物件導向程式設計,Java Object-oriented Programming,一般,電子三甲,選修,半,3,王佳祥,2-EFG.,科學B06,,,,,,電子系,40,25,3,3,90,國語,4600B,0
◎,,,,,4670307,EL703G,EL703,健康照護科技專題(一),Healthcare Technology (I),一般,電子三甲,選修,半,2,張耀仁,,,,,,,系所合開,電子系,20,10,2,2,30,國語,4600B,0
◎,,,V,,4632208,EL322H,BE401,專題實作(一),Engineering Design Practicum(I),一般,電子三乙,必修,半,1,鄭慧愷,,,,,,,,電子系,80,44,1,1,2,國語,4600B,0
◎,,,V,,4632211,EL322K,BE401,專題實作(一),Engineering Design Practicum(I),一般,電子三丙,必修,半,1,鄭慧愷,,,,,,,,電子系,80,46,1,1,2,國語,4600B,0
◎,,,,,4619012,EL190L,ZA190,數位影像處理,Digital Image Processing,一般,電子四甲,選修,半,3,繆紹綱,1-234.,電學416,,,,,系所合開，非同步遠距,電子系,30,25,3,3,101,國語,4600B,0
◎,,,,,4621912,EL219L,IS219,生涯規劃,Career Planning,一般,電子四甲,選修,半,2,白玉山,4-8C.,商學302,,,,,,電子系,70,22,2,2,22,國語,4600B,28
◎,,,,,4634812,EL348L,EL348,高速數位電路訊號完整性,Signal Integrity for High-Speed Digital Circuits,一般,電子四甲,選修,半,3,薛光華,1-78C.,教學309,,,,,系所合開,電子系,40,30,3,3,75,國語,4600B,0
◎,,,,,4635012,EL350L,ZA350,數位通信,Digital Communication,一般,電子四甲,選修,半,3,鍾日龍,5-234.,教學605,,,,,系所合開，本課程為全英語授課,電子系,60,13,3,3,16,英語,4600B,37
◎,,,,,4638812,EL388L,ZA388,工業日文(二),Engineering Japanese(2),一般,電子四甲,選修,半,2,温武義,5-34.,教學309,,,,,,電子系,70,59,2,2,62,國語,4600B,1
◎,,,,,4640112,EL401L,CS401,古典量子混和演算法,Quantum and classical hybrid algorithm,一般,電子四甲,選修,半,3,黃琮暐,2-678.,篤信251,,,,,,電子系,5,5,0,0,9,國語,4600B,0
◎,,,,,4640212,EL402L,CS402,量子計算平台實作,Implement quantum computation,一般,電子四甲,選修,半,3,黃琮暐,4-678.,篤信251,,,,,,電子系,5,3,0,0,12,國語,4600B,2
◎,,,,,4641812,EL418L,EL418,信息理論,Information Theory,一般,電子四甲,選修,半,3,楊緒文,4-678.,教學402,,,,,系所合開,電子系,20,18,0,0,48,國語,4600B,0
◎,,,,,4643212,EL432L,CS423,處理器與記憶體整合實作,Implementation and Integration of Processor and Memory Designs,一般,電子四甲,選修,半,3,鄭維凱,2-234.,篤信251,,,,,,電子系,20,10,1.5,1.5,44,國語,4600B,0
◎,,,,,4643612,EL436L,EE436,展頻通訊系統,Spread Spectrum Communication Systems,一般,電子四甲,選修,半,3,鄭立德,2-234.,電學415,,,,,系所合開,電子系,10,10,0,0,15,國語,4600B,0
◎,,,,,4644012,EL440L,EL440,檢測與估計理論,Detection and Estimation,一般,電子四甲,選修,半,3,鄭立德,1-234.,教學608,,,,,系所合開,電子系,30,25,3,3,25,國語,4600B,2
◎,,,,,4644412,EL444L,EL444,混合訊號積體電路設計,Mixed-Signal IC Design,一般,電子四甲,選修,半,3,陳淳杰,4-234.,電學416,,,,,系所合開,電子系,25,25,0,0,41,國語,4600B,0
◎,,,,,4645212,EL452L,EL452,微電子構裝工程導論,Introduction to Microelectronic Packaging    ,一般,電子四甲,選修,半,3,鄭湘原,1-567.,教學816,,,,,,電子系,50,40,3,3,57,國語,4600B,0
◎,,,,,4645912,EL459L,EL459,電路設計實務,"Linux, Schematics Capture & PCB Layout",一般,電子四甲,選修,半,3,白玉山,4-567.,管理101,,,,,系所合開,電子系,50,14,3,3,20,國語,4600B,21
◎,,,,,4646112,EL461L,EL545,電腦輔助數位通訊系統設計與模擬,Computer-Aided Design and Simulation for Digital Communication Systems,一般,電子四甲,選修,半,3,鍾日龍,1-EFG.,電學410,,,,,系所合開,電子系,20,5,3,3,11,國語,4600B,11
◎,,,,,4650212,EL502L,EE502,半導體製程實務專題,Semiconductor Technology Seminar,一般,電子四甲,選修,半,3,許世哲,5-234.,電學講,,,,,,電子系,30,27,0,0,30,國語,4600B,3
◎,,,,,4650212,EL502L,EE502,半導體製程實務專題,Semiconductor Technology Seminar,一般,電子四甲,選修,半,3,邱謙松,5-234.,電學講,,,,,,電子系,30,27,0,0,30,國語,4600B,3
◎,,,,,4650712,EL507L,EL507,奈米電子學,Nano-electronics,一般,電子四甲,選修,半,3,莊家翔,2-8CD.,教學309,,,,,系所合開，全英語授課,電子系,30,30,3,3,60,英語,4600B,0
◎,,,,,4650812,EL508L,EL508,CMOS射頻積體電路設計,CMOS RFIC Design,一般,電子四甲,選修,半,3,陳淳杰,2-234.,電學416,,,,,系所合開,電子系,25,20,0,0,41,國語,4600B,0
◎,,,,,4652612,EL526L,EL526,太陽能電池原理與工程,Principle and Engineering of Solar Cells,一般,電子四甲,選修,半,3,籃山明,4-EFG.,教學309,,,,,系所合開,電子系,40,25,0,0,51,國語,4600B,0
◎,,V,,,4653912,EL539L,EL539,Android應用程式設計,Android Application Design,一般,電子四甲,選修,半,3,劉宏煥,1-EFG.,電學B06,,,,,系所合開，非同步遠距教學,電子系,30,30,3,3,97,國語,4600B,0
◎,,,,,4654112,EL541L,CS541,量子演算法,Quantum algorithms,一般,電子四甲,選修,半,3,黃琮暐,2-EFG.,篤信251,,,,,,電子系,5,5,0,0,11,國語,4600B,0
◎,,,,,4658212,EL582L,EL582,Linux作業系統,Deep Learn to Linux Operating System,一般,電子四甲,選修,半,3,白玉山,5-DEF.,管理101,,,,,系所合開,電子系,60,21,3,3,24,國語,4600B,29
◎,,,,,4658312,EL583L,EL583,5G 傳輸模擬技術,Simulation Techniques for 5G Transmission,一般,電子四甲,選修,半,3,鍾日龍,2-EFG.,電學410,,,,,,電子系,15,15,0,0,23,國語,4600B,0
◎,,V,,,4658512,EL585L,EL585,程式設計與應用,Programing Language and Application,一般,電子四甲,選修,半,3,劉宏煥,2-567.,電學416,,,,,,電子系,30,30,3,3,77,國語,4600B,0
◎,V,,,,4745618,CS456R,CS402,量子計算平台實作,Implement quantum computation,一般,資訊碩一,選修,半,3,黃琮暐,4-678.,篤信251,,,,,,資訊系,10,5,3,3,6,國語,4700B,5
◎,V,,,,4745718,CS457R,CS401,古典量子混和演算法,Quantum and classical hybrid algorithm,一般,資訊碩一,選修,半,3,黃琮暐,2-678.,篤信251,,,,,,資訊系,10,5,3,3,6,國語,4700B,5
